회사명,corp_eng_name,종목코드,is_defaulted
한국알콜,KoreaAlcoholIndustrial,017890,0
한국아트라스비엑스,"HANKOOK ATLASBX CO.,LTD.",023890,0
한국씨티은행,Citibank Korea Inc.,016830,0
한국스탠다드차타드은행,Standard Chartered Bank Korea Ltd,000110,0
한국쉘석유,"HANKOOK SHELL OIL CO.,LTD",002960,0
한국수출포장공업,"KOREA EXPORT PACKAGING INDUSTRIAL CO.,LTD",002200,0
한국선재,"HANKUK STEEL WIRE CO., LTD.",025550,0
한국석유공업,KOREA PETROLEUM INDUSTRIES COMPANY,004090,0
한국비티비,"BTB Korea Co.,Ltd",219750,0
한국비엔씨,"BNC Korea Co, Ltd",256840,0
한국비엔씨,BNC Korea Co. Ltd,226610,0
한국베트남15-1유전해외자원개발투자회사,Korea Vietnam15-1Oil Overseas Resources Development Fund,093820,0
한국미라클피플사,"KOREA MIRACLE PEOPLE COMPANY Co., Ltd.",331660,0
한국무브넥스,"KOREA MOVENEX CO., LTD.",010100,0
한국맥널티,"Mcnulty Korea Co., Ltd",222980,0
한국단자공업,"KOREA ELECTRIC TERMINAL CO.,LTD",025540,0
한국내화,"KOREA REFRACTORIES CO.,LTD",010040,0
한국기업평가,Korea Ratings Corporation,034950,0
한국기술산업,KoreaTechnology,008320,0
한국금융지주,"Korea Investment Holdings Co., Ltd",071050,0
한국공항,"KOREA AIRPORT SERVICE CO.,LTD",005430,0
한국고덴시,KODENSHIKOREA CORP,027840,0
한국경제TV,"The Korea Economic Broadcasting CO.,LTD.",039340,0
한국가스공사,KoreaGasCorporation,036460,0
한국가구,KoreaFurniture,004590,0
한국ANKOR유전,KIM ANKOR Oilfield Overseas Resources Development Special Asset Fund [1](Equity),152550,0
한강구조조정기금,HANKANG RESTRUCTURING FUND,036060,0
하츠,HAATZ Inc.,066130,0
하이퍼코퍼레이션,Hyper Corporation Inc.,065650,0
하이트진로홀딩스,"HITEJINRO HOLDINGS CO., LTD",000140,0
하이트진로,HITE JINRO,000080,0
하이트맥주,"HITE BREWERY CO., LTD.",103150,0
하이텍팜,"HIGH TECH PHARM CO.,LTD.",106190,0
하이콤정보통신,Hycom Data Communications Inc.,048540,0
하이즈항공,"HIZEAERO Co.,Ltd.",221840,0
하이젠알앤엠,"HIGEN RNM CO., LTD",160190,0
하이제8호스팩,HI Special Purpose Acquisition Company Ⅷ,450050,0
하이제7호기업인수목적,HI Special Purpose Acquisition Company VII,400840,0
하이제6호기업인수목적,HI Special Purpose Acquisition Company VI,377400,0
하이제5호기업인수목적,HI Special Purpose Acquisitoin Company V,340120,0
하이에이아이1호기업인수목적,HI AI 1ST Special Purpose Acquisition Company,235010,0
하이스틸,"HISTEEL CO., LTD",071090,0
하이스마텍,"HiSmarTech Co., Ltd.",057100,0
하이비젼시스템,HyVISION SYSTEM.INC,126700,0
하이브,"HYBE Co., Ltd.",352820,0
하이록코리아,HY-LOK CORPORATION,013030,0
하이로닉,"Hironic Co.,Ltd",149980,0
하이럭스,"HILUX CO., LTD.",079340,0
하이딥,HiDeep Inc.,365590,0
하이드로리튬,Hydro Lithium Inc,101670,0
하이골드오션8호국제선박투자회사,HI GOLD OCEAN KMARIN NO.8 SHIP INVESTMENT COMPANY,159650,0
하이골드오션3호선박투자회사,Hi Gold Ocean No.3 Ship Investment Company,153360,0
하이골드오션2호선박투자회사,"HI GOLD OCEAN NO.2 SHIP INVESTMENT CO., LTD.",139200,0
하이골드오션12호국제선박투자회사,HI GOLD OCEAN KMARIN NO.12 SHIP INVESTMENT COMPANY,172580,0
하우리,HAURI Inc.,049130,0
하스코,"HASCO.CO.,LTD",012760,0
하스,HASS Corp.,450330,0
하림홀딩스,"HARIM HOLDINGS CO.,LTD.",024660,0
하림지주,"Harim Holdings Co., Ltd.",003380,0
하림,"HARIM Co., Ltd.",136480,0
하나투어,HANATOUR SERVICE INC.,039130,0
하나제약,"Hana Pharm. Co., Ltd.",293480,0
하나은행,KEB Hana Bank,004940,0
하나은행,Hana Bank,002860,0
하나유비에스암바토비니켈해외자원개발2호,HANA UBS AMBATOVY NICKEL OVERSEAS 2,099350,0
하나유비에스암바토비니켈해외자원개발1호,HANA UBS AMBATOVY NICKEL OVERSEAS 1,099340,0
하나머티리얼즈,Hana Materials Inc.,166090,0
하나머스트제6호기업인수목적,Hana Must Sixth Special Purpose Acquisition Company,307160,0
하나머스트7호기업인수목적,Hana Must Seven Special Purpose Acquisition Company,372290,0
하나머스트3호기업인수목적,Hana Must Third Special Purpose Acquisition Company,208870,0
하나마이크론,HanaMicronInc.,067310,0
하나기술,"HANA TECHNOLOGY CO.,LTD.",299030,0
하나금융지주,Hana Financial Group Inc.,086790,0
